NDVI,area,date
0.196212261070921,Motera,2018-02-27
0.2031914679020286,Motera,2018-03-04
0.2033831799461772,Motera,2018-03-04
0.2180919844986227,Motera,2018-03-14
0.2178852716853942,Motera,2018-03-14
0.2047751286044944,Motera,2018-03-29
0.2048701739260536,Motera,2018-03-29
0.1800736850898964,Motera,2018-04-08
0.1801890289891338,Motera,2018-04-08
0.1896482260920156,Motera,2018-05-13
0.1894404840525624,Motera,2018-05-13
0.1745319769236372,Motera,2018-05-28
0.1748899020313216,Motera,2018-05-28
0.2842408743745236,Motera,2018-10-05
0.2832417447663851,Motera,2018-10-05
0.2530654547110018,Motera,2018-10-20
0.2519828864849256,Motera,2018-10-20
0.2549892109383468,Motera,2018-10-30
0.2527759099022202,Motera,2018-10-30
0.2363181167384836,Motera,2018-11-09
0.2337237251948905,Motera,2018-11-09
0.2180780021639572,Motera,2018-11-24
0.217092721828902,Motera,2018-11-24
0.2324176160942894,Motera,2018-11-29
0.2316459532605637,Motera,2018-11-29
0.2270643133539491,Motera,2018-12-09
0.2295835303200603,Motera,2018-12-09
0.2261374565106371,Motera,2018-12-14
0.2281654775410593,Motera,2018-12-14
0.2261940616193651,Motera,2018-12-19
0.2255780365923347,Motera,2018-12-19
0.1952692640575478,Motera,2018-12-24
0.1952418877376098,Motera,2018-12-24
0.2230718598609901,Motera,2018-12-29
0.2224598501850064,Motera,2018-12-29
0.2135082069733579,Motera,2019-01-03
0.2119582162090348,Motera,2019-01-03
0.2099578366466994,Motera,2019-01-08
0.2100127148885346,Motera,2019-01-08
0.1689505549523148,Motera,2019-01-13
0.1753811675777702,Motera,2019-01-13
0.1887983705650244,Motera,2019-01-23
0.1871991770179608,Motera,2019-01-23
0.2032042824160793,Motera,2019-01-28
0.2027016158749015,Motera,2019-01-28
0.1947068717802256,Motera,2019-02-02
0.1948334387734203,Motera,2019-02-02
0.1657130473243338,Motera,2019-02-07
0.1654137352030519,Motera,2019-02-07
0.1901642230554536,Motera,2019-02-12
0.1892614828624446,Motera,2019-02-12
0.1922762435659039,Motera,2019-02-17
0.1921313089352798,Motera,2019-02-17
0.1699097958383297,Motera,2019-02-22
0.1694606389037926,Motera,2019-02-22
0.1654997032006352,Motera,2019-02-27
0.1658311957265304,Motera,2019-02-27
0.1813463293981996,Motera,2019-03-04
0.1697279752101711,Motera,2019-03-04
0.1848801500587693,Motera,2019-03-09
0.1847186661677455,Motera,2019-03-09
0.1976374755658068,Motera,2019-03-14
0.1975424694073244,Motera,2019-03-14
